scenario,attachment_size_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,wall_clock_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed,tracked_facts,error
growing,0,1,1,88439c90-b81f-4d19-9a23-2258ba7aaeb9,67,0,2,0,0,2083,270,0.000474,6242,9652,none,default,True,True,,,
growing,0,1,2,88439c90-b81f-4d19-9a23-2258ba7aaeb9,57,0,4,0,0,2470,302,0.000552,4801,6886,none,default,True,True,True,Nimbus,
growing,0,1,3,88439c90-b81f-4d19-9a23-2258ba7aaeb9,48,0,6,0,0,2864,320,0.000622,4251,6459,none,default,True,True,True,Nimbus | RFQ workflow,
growing,0,1,4,88439c90-b81f-4d19-9a23-2258ba7aaeb9,47,0,8,0,0,3260,302,0.00067,3892,5677,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,0,1,5,88439c90-b81f-4d19-9a23-2258ba7aaeb9,47,0,10,0,0,3612,325,0.000737,3856,5874,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,0,1,6,88439c90-b81f-4d19-9a23-2258ba7aaeb9,61,0,12,0,0,4002,351,0.000811,4013,6310,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,0,1,7,88439c90-b81f-4d19-9a23-2258ba7aaeb9,60,0,12,0,468,4406,351,0.000871,3816,7900,none,default,True,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,0,2,1,2280eae9-2977-4eb3-a96d-2354dd08dc96,67,0,2,0,0,2083,264,0.000471,3329,4849,none,default,True,True,,,
growing,0,2,2,2280eae9-2977-4eb3-a96d-2354dd08dc96,57,0,4,0,0,2440,300,0.000546,3996,6142,none,default,True,True,True,Nimbus,
growing,0,2,3,2280eae9-2977-4eb3-a96d-2354dd08dc96,48,0,6,0,0,2807,331,0.00062,3861,5298,none,default,True,True,True,Nimbus | RFQ workflow,
growing,0,2,4,2280eae9-2977-4eb3-a96d-2354dd08dc96,47,0,8,0,0,3201,326,0.000676,4154,5749,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,0,2,5,2280eae9-2977-4eb3-a96d-2354dd08dc96,47,0,10,0,0,3577,322,0.00073,4208,5969,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,0,2,6,2280eae9-2977-4eb3-a96d-2354dd08dc96,61,0,12,0,0,3957,316,0.000783,3558,5319,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,0,2,7,2280eae9-2977-4eb3-a96d-2354dd08dc96,60,0,12,0,477,4345,366,0.000871,6324,10013,none,default,True,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,0,3,1,727b46a5-462b-4329-bd3b-101b16fcb80f,67,0,2,0,0,5632,607,0.001209,7221,8497,none,default,True,True,,,
growing,0,3,2,727b46a5-462b-4329-bd3b-101b16fcb80f,57,0,4,0,0,2462,348,0.000578,4071,5316,none,default,True,True,True,Nimbus,
growing,0,3,3,727b46a5-462b-4329-bd3b-101b16fcb80f,48,0,6,0,0,2871,376,0.000656,4441,6114,none,default,True,True,True,Nimbus | RFQ workflow,
growing,0,3,4,727b46a5-462b-4329-bd3b-101b16fcb80f,47,0,8,0,0,3317,378,0.000724,5236,7165,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,0,3,5,727b46a5-462b-4329-bd3b-101b16fcb80f,47,0,10,0,0,3745,365,0.000781,4935,6256,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,0,3,6,727b46a5-462b-4329-bd3b-101b16fcb80f,61,0,12,0,0,4175,361,0.000843,4476,6633,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,0,3,7,727b46a5-462b-4329-bd3b-101b16fcb80f,60,0,12,0,700,4609,372,0.000915,8130,12590,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,5,1,1,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5307,5180,2,0,0,2997,307,0.000634,4486,6650,none,default,True,True,,,
growing,5,1,2,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5297,5180,4,0,0,4331,298,0.000828,4684,6805,none,default,True,True,True,Nimbus,
growing,5,1,3,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5288,5180,6,0,0,5603,310,0.001026,13251,15027,none,default,False,True,True,Nimbus | RFQ workflow,
growing,5,1,4,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5287,5180,8,0,0,6885,127,0.001109,2500,4856,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,5,1,5,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5287,5180,10,0,0,8060,139,0.001292,4062,6338,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,5,1,6,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5301,5180,12,0,0,9169,147,0.001464,2338,4887,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,5,1,7,b369199b-a2c3-41ca-a9ee-01f39b9b4439,5300,5180,12,0,902,10308,148,0.001635,3085,9773,none,default,True,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,5,2,1,e95022c0-4dd6-4899-b29e-48e28cb2513d,5307,5180,2,0,0,2997,275,0.000615,3836,5925,none,default,True,True,,,
growing,5,2,2,e95022c0-4dd6-4899-b29e-48e28cb2513d,5297,5180,4,0,0,4345,261,0.000808,3359,5249,none,default,True,True,True,Nimbus,
growing,5,2,3,e95022c0-4dd6-4899-b29e-48e28cb2513d,5288,5180,6,0,0,5523,282,0.000998,4062,5901,none,default,True,True,True,Nimbus | RFQ workflow,
growing,5,2,4,e95022c0-4dd6-4899-b29e-48e28cb2513d,5287,5180,8,0,0,6790,99,0.001078,1608,3367,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,5,2,5,e95022c0-4dd6-4899-b29e-48e28cb2513d,5287,5180,10,0,0,7853,285,0.001349,3222,4608,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,5,2,6,e95022c0-4dd6-4899-b29e-48e28cb2513d,5301,5180,12,0,0,9105,300,0.001546,3870,5492,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,5,2,7,e95022c0-4dd6-4899-b29e-48e28cb2513d,5300,5180,12,0,892,10371,304,0.001738,3733,8038,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,5,3,1,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5307,5180,2,0,0,2997,297,0.000628,4563,6075,none,default,True,True,,,
growing,5,3,2,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5297,5180,4,0,0,4327,337,0.000851,4341,6324,none,default,True,True,True,Nimbus,
growing,5,3,3,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5288,5180,6,0,0,5646,358,0.001062,4653,6783,none,default,True,True,True,Nimbus | RFQ workflow,
growing,5,3,4,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5287,5180,8,0,0,6981,357,0.001261,7776,9838,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,5,3,5,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5287,5180,10,0,0,8293,388,0.001477,6758,9592,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,5,3,6,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5301,5180,12,0,0,9669,403,0.001692,9162,11543,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,5,3,7,3bbe702f-c464-42c0-8ad3-bb2a334d96c7,5300,5180,12,0,877,11043,420,0.001908,19171,24880,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,20,1,1,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20854,20726,2,0,0,5703,294,0.001032,6724,8954,none,default,True,True,,,
growing,20,1,2,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20844,20726,4,0,0,9776,304,0.001649,3609,7993,none,default,True,True,True,Nimbus,
growing,20,1,3,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20835,20726,6,0,0,13767,318,0.002256,4416,6773,none,default,True,True,True,Nimbus | RFQ workflow,
growing,20,1,4,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20834,20726,8,0,0,17773,124,0.00274,4849,8549,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,20,1,5,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20834,20726,10,0,0,21567,114,0.003303,2230,5663,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,20,1,6,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20848,20726,12,0,0,25357,154,0.003896,2413,7771,none,default,True,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
growing,20,1,7,7c4cc0eb-38d3-4e79-9575-c0c2a1924500,20847,20726,12,0,824,29199,119,0.004451,8021,16709,none,default,False,True,False,Nimbus | RFQ workflow | Okta | 60000 | audit log | CSV import,
growing,20,2,1,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20854,20726,2,0,0,5703,262,0.001013,3422,6592,none,default,True,True,,,
growing,20,2,2,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20844,20726,4,0,0,9710,301,0.001637,4742,8101,none,default,True,True,True,Nimbus,
growing,20,2,3,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20835,20726,6,0,0,13695,320,0.002246,4145,6474,none,default,True,True,True,Nimbus | RFQ workflow,
growing,20,2,4,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20834,20726,8,0,0,17701,319,0.002847,5424,10210,none,default,True,True,True,Nimbus | RFQ workflow | Okta,
growing,20,2,5,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20834,20726,10,0,0,21709,338,0.003459,12915,15618,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000,
growing,20,2,6,ef9ed0a4-9971-4e0e-b76c-9ee7d61cb10d,20848,20726,12,0,0,25737,348,0.004069,18402,22656,none,default,False,True,True,Nimbus | RFQ workflow | Okta | 60000 | audit log,
